Title,URL,Completed
144. Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,
1448. Count Good Nodes in Binary Tree,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,
145. Binary Tree Postorder Traversal,https://leetcode.com/problems/binary-tree-postorder-traversal/,
1457. Pseudo-Palindromic Paths in a Binary Tree,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/,
146. LRU Cache,https://leetcode.com/problems/lru-cache/,
15. 3Sum,https://leetcode.com/problems/3sum/,
151. Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,
1531. String Compression II,https://leetcode.com/problems/string-compression-ii/,
1544. Make The String Great,https://leetcode.com/problems/make-the-string-great/,
1578. Minimum Time to Make Rope Colorful,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/description/,
160. Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,
165. Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,
1662. Check If Two String Arrays are Equivalent,https://leetcode.com/problems/check-if-two-string-arrays-are-equivalent/,
1680. Concatenation of Consecutive Binary Numbers,https://leetcode.com/problems/concatenation-of-consecutive-binary-numbers/,
169. Majority Element,https://leetcode.com/problems/majority-element,
169. Majority Element,https://leetcode.com/problems/majority-element/,
1706. Where Will the Ball Fall,https://leetcode.com/problems/where-will-the-ball-fall/,
173. Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,
175. Combine Two Tables,https://leetcode.com/problems/combine-two-tables/,
1770. Maximum Score from Performing Multiplication Operations,https://leetcode.com/problems/maximum-score-from-performing-multiplication-operations/,
1790. Check if One String Swap Can Make Strings Equal,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal/,
18. 4Sum,https://leetcode.com/problems/4sum/,
1823. Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game/,
1832. Check if the Sentence Is Pangram,https://leetcode.com/problems/check-if-the-sentence-is-pangram/,
19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,
1941. Check if All Characters Have Equal Number of Occurrences,https://leetcode.com/problems/check-if-all-characters-have-equal-number-of-occurrences/,
199. Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,
2. Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,
20. Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,
200. Number of Islands,https://leetcode.com/problems/number-of-islands/,
2007. Find Original Array From Doubled Array,https://leetcode.com/problems/find-original-array-from-doubled-array/,
203. Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,
206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,
206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,
2095. Delete the Middle Node of a Linked List,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list/,
21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,
2131. Longest Palindrome by Concatenating Two Letter Words,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/,
2136. Earliest Possible Day of Full Bloom,https://leetcode.com/problems/earliest-possible-day-of-full-bloom/,
215. Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,
216. Combination Sum III,https://leetcode.com/problems/combination-sum-iii,
217. Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,
219. Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,
222. Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/,
225. Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,
226. Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,
229. Majority Element II,https://leetcode.com/problems/majority-element-ii/,
230. Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
231. Power of Two,https://leetcode.com/problems/power-of-two/,
232. Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,
234. Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,
2357. Make Array Zero by Subtracting Equal Amounts,https://leetcode.com/problems/make-array-zero-by-subtracting-equal-amounts/,
236. Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,
237. Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,
2370. Longest Ideal Subsequence,https://leetcode.com/problems/longest-ideal-subsequence,
24. Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,
2415. Reverse Odd Levels of Binary Tree,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree/,
2434. Design a Number Container System,https://leetcode.com/problems/design-a-number-container-system,
2441. Largest Positive Integer That Exists With Its Negative,https://leetcode.com/problems/largest-positive-integer-that-exists-with-its-negative,
2448. Count Number of Bad Pairs,https://leetcode.com/problems/count-number-of-bad-pairs,
2485. Find the Pivot Integer,https://leetcode.com/problems/find-the-pivot-integer,
2487. Remove Nodes From Linked List,https://leetcode.com/problems/remove-nodes-from-linked-list/,
2526. Find Consecutive Integers from a Data Stream,https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream/,
2529. Maximum Count of Positive Integer and Negative Integer,https://leetcode.com/problems/maximum-count-of-positive-integer-and-negative-integer/,
2530. Maximal Score After Applying K Operations,https://leetcode.com/problems/maximal-score-after-applying-k-operations/,
2531. Make Number of Distinct Characters Equal,https://leetcode.com/problems/make-number-of-distinct-characters-equal/,
2544. Alternating Digit Sum,https://leetcode.com/problems/alternating-digit-sum/,
2545. Sort the Students by Their Kth Score,https://leetcode.com/problems/sort-the-students-by-their-kth-score/,
2546. Apply Bitwise Operations to Make Strings Equal,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal/,
2549. Count Distinct Numbers on Board,https://leetcode.com/problems/count-distinct-numbers-on-board/,
2550. Count Collisions of Monkeys on a Polygon,https://leetcode.com/problems/count-collisions-of-monkeys-on-a-polygon/,
26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,
268. Missing Number,https://leetcode.com/problems/missing-number,
2685. First Completely Painted Row or Column,https://leetcode.com/problems/first-completely-painted-row-or-column,
278. First Bad Version,https://leetcode.com/problems/first-bad-version/,
287. Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,
295. Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,
2997. Minimum Number of Operations to Make Array XOR Equal to K,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-xor-equal-to-k,
3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters,
300. Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,
31. Next Permutation,https://leetcode.com/problems/next-permutation/,
326. Power of Three,https://leetcode.com/problems/power-of-three/,
328. Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/,
33. Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,
334. Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/,
336. Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,
342. Power of Four,https://leetcode.com/problems/power-of-four/,
3429. Special Array I,https://leetcode.com/problems/special-array-i,
3434. Find the Number of Distinct Colors Among the Balls,https://leetcode.com/problems/find-the-number-of-distinct-colors-among-the-balls,
35. Search Insert Position,https://leetcode.com/problems/search-insert-position/,
374. Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,
377. Combination Sum IV,https://leetcode.com/problems/combination-sum-iv,
378. Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,
38. Count and Say,https://leetcode.com/problems/count-and-say/,
383. Ransom Note,https://leetcode.com/problems/ransom-note/,
387. First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,
39. Combination Sum,https://leetcode.com/problems/combination-sum,
393. UTF-8 Validation,https://leetcode.com/problems/utf-8-validation/,
40. Combination Sum II,https://leetcode.com/problems/combination-sum-ii,
402. Remove K Digits,https://leetcode.com/problems/remove-k-digits/,
404. Sum of Left Leaves,https://leetcode.com/problems/sum-of-left-leaves/,
42. Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,
429. N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal/,
433. Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation/,
458. Poor Pigs,https://leetcode.com/problems/poor-pigs/,
48. Rotate Image,https://leetcode.com/problems/rotate-image/,
49. Group Anagrams,https://leetcode.com/problems/group-anagrams/,
496. Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,
5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,
"50. Pow(x, n)",https://leetcode.com/problems/powx-n/,
509. Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,
523. Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum/,
53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,
54. Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,
540. Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,
557. Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii/,
56. Merge Intervals,https://leetcode.com/problems/merge-intervals/,
58. Length of Last Word,https://leetcode.com/problems/length-of-last-word/,
606. Construct String from Binary Tree,https://leetcode.com/problems/construct-string-from-binary-tree/,
609. Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system/,
61. Rotate List,https://leetcode.com/problems/rotate-list/,
62. Unique Paths,https://leetcode.com/problems/unique-paths/,
622. Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,
623. Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree/description/,
623. Add One Row to Tree,https://leetcode.com/problems/add-one-row-to-tree,
637. Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,
645. Set Mismatch,https://leetcode.com/problems/set-mismatch/,
653. Two Sum IV - Input is a BST,https://leetcode.com/problems/two-sum-iv-input-is-a-bst/,
655. Print Binary Tree,https://leetcode.com/problems/print-binary-tree/,
658. Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,
659. Split Array into Consecutive Subsequences,https://leetcode.com/problems/split-array-into-consecutive-subsequences/,
66. Plus One,https://leetcode.com/problems/plus-one/,
67. Add Binary,https://leetcode.com/problems/add-binary/,
684. Redundant Connection,https://leetcode.com/problems/redundant-connection,
692. Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,
7. Reverse Integer,https://leetcode.com/problems/reverse-integer/,
70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,
700. Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,
701. Insert into a Binary Search Tree,https://leetcode.com/problems/insert-into-a-binary-search-tree/,
718. Maximum Length of Repeated Subarray,https://leetcode.com/problems/maximum-length-of-repeated-subarray/,
729. My Calendar I,https://leetcode.com/problems/my-calendar-i/,
73. Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,
74. Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,
75. Sort Colors,https://leetcode.com/problems/sort-colors/,
76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,
766. Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix/,
8. String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,
804. Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words/,
807. Custom Sort String,https://leetcode.com/problems/custom-sort-string,
814. Binary Tree Pruning,https://leetcode.com/problems/binary-tree-pruning/,
820. Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states,
83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,
835. Image Overlap,https://leetcode.com/problems/image-overlap/,
838. Push Dominoes,https://leetcode.com/problems/push-dominoes/,
858. Mirror Reflection,https://leetcode.com/problems/mirror-reflection/,
869. Reordered Power of 2,https://leetcode.com/problems/reordered-power-of-2/,
871. Minimum Number of Refueling Stops,https://leetcode.com/problems/minimum-number-of-refueling-stops/,
876. Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,
9. Palindrome Number,https://leetcode.com/problems/palindrome-number/,
90. Subsets II,https://leetcode.com/problems/subsets-ii/,
901. Online Stock Span,https://leetcode.com/problems/online-stock-span/,
91. Decode Ways,https://leetcode.com/problems/decode-ways/,
912. Sort an Array,https://leetcode.com/problems/sort-an-array/,
92. Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,
94. Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/,
948. Bag of Tokens,https://leetcode.com/problems/bag-of-tokens/,
967. Numbers With Same Consecutive Differences,https://leetcode.com/problems/numbers-with-same-consecutive-differences/,
976. Largest Perimeter Triangle,https://leetcode.com/problems/largest-perimeter-triangle/,
98. Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,
985. Sum of Even Numbers After Queries,https://leetcode.com/problems/sum-of-even-numbers-after-queries/,
987. Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,
